Jogo: Terraria | 🏆 Troféu: Timber!! | 📝 Como platinar: Chop down your first tree.
Jogo: Hearts of Iron IV | 🏆 Troféu: It's Just Good Business | 📝 Como platinar: As the East India Company, own Suez and Panama
Jogo: Hearts of Iron IV | 🏆 Troféu: Media Mughal | 📝 Como platinar: As the Mughal Empire, complete Agency Upgrade Psychological Warfare, become Spy Master and have at least 8 operatives
Jogo: Hearts of Iron IV | 🏆 Troféu: Oh, how the turntables | 📝 Como platinar: As India puppet the UK with Churchill as it's leader
Jogo: Hearts of Iron IV | 🏆 Troféu: I'm just passing by | 📝 Como platinar: Own a state on each continent while being at peace
Jogo: Hearts of Iron IV | 🏆 Troféu: That's SIkh! | 📝 Como platinar: As Khalistan, control all of the starting Raj states
Jogo: Hearts of Iron IV | 🏆 Troféu: Oil Sheiks | 📝 Como platinar: As Iraq, have 500 oil production
Jogo: Hearts of Iron IV | 🏆 Troféu: Revenge for 1925 | 📝 Como platinar: As Iraq, form the Hashemite Arab Federation and defeat Saudi Arabia
Jogo: Hearts of Iron IV | 🏆 Troféu: Avenging the Sack of Baghdad | 📝 Como platinar: As Iraq, control the capital of Mongolia
Jogo: Hearts of Iron IV | 🏆 Troféu: I shall either find a way or make one | 📝 Como platinar: Control Rome and have an elephant unit in the state.
Jogo: Hearts of Iron IV | 🏆 Troféu: Savior of the holy lands | 📝 Como platinar: As Afghanistan, become the owner of Palestine and Mecca
Jogo: Hearts of Iron IV | 🏆 Troféu: Doctrine of Choice | 📝 Como platinar: Complete three subdoctrines in the same track.
Jogo: Hearts of Iron IV | 🏆 Troféu: Manifesting a Better Tomorrow | 📝 Como platinar: Reach 100% faction manifest fulfilment.
Jogo: Hearts of Iron IV | 🏆 Troféu: Genghis Khan't | 📝 Como platinar: As any Chinese country or Manchukuo, own and control all Mongolian core states.
Jogo: Hearts of Iron IV | 🏆 Troféu: The Neverending Story | 📝 Como platinar: As a Warlord, proclaim a new Chinese Empire.
Jogo: Hearts of Iron IV | 🏆 Troféu: Its all coming together | 📝 Como platinar: As China, fully control all core states alone or with subjects.
Jogo: Hearts of Iron IV | 🏆 Troféu: The Coast is Clear | 📝 Como platinar: As China, never lose a starting coastal state before 1945.9.2.
Jogo: Hearts of Iron IV | 🏆 Troféu: A Fullmetal Brotherhood | 📝 Como platinar: As Fascist China, control 300 Steel, Tungsten and Chromium.
Jogo: Hearts of Iron IV | 🏆 Troféu: Battle Royale | 📝 Como platinar: As Communist China, fight both China and Japan before 1940 within 90 days of being at war with the other, and capitulate them both.
Jogo: Hearts of Iron IV | 🏆 Troféu: The Winner takes it all | 📝 Como platinar: As PRC owns and controls all starting Chinese core states.
Jogo: Hearts of Iron IV | 🏆 Troféu: Master Infiltrator | 📝 Como platinar: As PRC, don't expand beyond Yan'an, and infiltrate at least 5 Chinese states and flip them to your control when attacking the rest of China.
Jogo: Hearts of Iron IV | 🏆 Troféu: Paradisus Paradoxum | 📝 Como platinar: As Japan, proclaim the creation of a Pure Buddhist Land.
Jogo: Hearts of Iron IV | 🏆 Troféu: An Equivalent Exchange | 📝 Como platinar: As Democratic Japan, complete the focus Foreign Exchange Allocation Policy and capitulate Fascist Germany.
Jogo: Hearts of Iron IV | 🏆 Troféu: The Sun Will Never Set | 📝 Como platinar: As Japan, proclaim the Eternal Empire and control all of your core states.
Jogo: Hearts of Iron IV | 🏆 Troféu: The Juannines | 📝 Como platinar: As the Philippines, have cores and control all of Spain.
Jogo: Hearts of Iron IV | 🏆 Troféu: Declare Military Emergency | 📝 Como platinar: Have a Military Emergency declared in the Philippines.
Jogo: Hearts of Iron IV | 🏆 Troféu: Cobalt Sea | 📝 Como platinar: As the Philippines, launch nuclear missiles from a nuclear submarine.
Jogo: Hearts of Iron IV | 🏆 Troféu: I Have Avenged You, Father! | 📝 Como platinar: As Zhang Xueliang, reclaim Mukden and revive the Beiyang government.
Jogo: Hearts of Iron IV | 🏆 Troféu: I'm playing both sides, so I always come out on top | 📝 Como platinar: Sell weapons to both sides of a civil war.
Jogo: Hearts of Iron IV | 🏆 Troféu: I didn't hear no bell | 📝 Como platinar: As democratic Czechoslovakia, become the 2nd republic by losing the Sudetenland and then granting autonomy to Slovakia, before capitulating Germany.
Jogo: Hearts of Iron IV | 🏆 Troféu: Premyslid's Dream | 📝 Como platinar: As monarchist Czechoslovakia, integrate both Austria and former Bohemian lands.
Jogo: Hearts of Iron IV | 🏆 Troféu: Kuťáci | 📝 Como platinar: As Czechoslovakia, build every facility type.
Jogo: Hearts of Iron IV | 🏆 Troféu: First train home | 📝 Como platinar: As Czechoslovakia, own any state of the Trans-Siberian Railway.
Jogo: Hearts of Iron IV | 🏆 Troféu: Ain't like that now | 📝 Como platinar: As fascist Czechoslovakia, complete "Return to Democracy".
Jogo: Hearts of Iron IV | 🏆 Troféu: Czechoslovaustrohungarian Union | 📝 Como platinar: As communist Czechoslovakia, complete "Expand the Union" and have Austria and Hungary in that union.
Jogo: Hearts of Iron IV | 🏆 Troféu: Steiner | 📝 Como platinar: As Germany, get over 30% surrender progress after 1941.6.22 while being at war with Soviet Union, France and England and controlling Moscow, Paris and London.
Jogo: Hearts of Iron IV | 🏆 Troféu: Saving Private Bryansk | 📝 Como platinar: Capture a General in the state of Bryansk.
Jogo: Hearts of Iron IV | 🏆 Troféu: Et tu, Paulus? | 📝 Como platinar: Capture a field Marshal.
Jogo: Hearts of Iron IV | 🏆 Troféu: Hunt for the Desert Fox | 📝 Como platinar: Capture Erwin Rommel.
Jogo: Hearts of Iron IV | 🏆 Troféu: A Bridge too Far | 📝 Como platinar: As the UK, liberate Brabant, and have Bernard Montgomery liberate Friesland while maintaining a force in Arnhem.
Jogo: Hearts of Iron IV | 🏆 Troféu: Waltzing Matilda | 📝 Como platinar: Deploy 25 Heavy Tank Battalions as Australia.
Jogo: Hearts of Iron IV | 🏆 Troféu: The 7th State | 📝 Como platinar: As Australia, own and fully control New Zealand.
Jogo: Hearts of Iron IV | 🏆 Troféu: The rightside up | 📝 Como platinar: As Australia, own and fully control Jan Mayen.
Jogo: Hearts of Iron IV | 🏆 Troféu: A Succulent Chinese Meal | 📝 Como platinar: As Australia annex and own one province in China.
Jogo: Hearts of Iron IV | 🏆 Troféu: ANZAC | 📝 Como platinar: As Australia or New Zealand, have an Army HQ in Greece and ensure that Greece doesn't capitulate until 1945.
Jogo: Hearts of Iron IV | 🏆 Troféu: Noone Will Notice the Difference | 📝 Como platinar: As Indonesia, station Gustav Adolf Ilgen in Stockholm.
Jogo: Hearts of Iron IV | 🏆 Troféu: Java-Script | 📝 Como platinar: As the Dutch East Indies (or Indonesia), research the Advanced Computing Machine and fully upgrade the Cryptology Department (while your capital is on the island of Java).
Jogo: Hearts of Iron IV | 🏆 Troféu: The Man of Medan | 📝 Como platinar: Sink 100 convoys as Indonesia.
Jogo: Hearts of Iron IV | 🏆 Troféu: Maphilindia | 📝 Como platinar: As Indonesia or the Philippines, form Maphilindo and control all Indian core states.
Jogo: Hearts of Iron IV | 🏆 Troféu: Old Zealand | 📝 Como platinar: As New Zealand, control and own the states of Brabant (Zeeland) and Sjaelland (Zealand).
Jogo: Hearts of Iron IV | 🏆 Troféu: From Rags to Admiral Stripes | 📝 Como platinar: Promote a Ship Captains to Admiral.
Jogo: Hearts of Iron IV | 🏆 Troféu: Hail to the King | 📝 Como platinar: As Siam, form Greater Thailand before King Ananda is 15 years old.
Jogo: Hearts of Iron IV | 🏆 Troféu: Grand Siam | 📝 Como platinar:  As Siam, capitulate 4 nations within one year.
Jogo: Hearts of Iron IV | 🏆 Troféu: ThaiTanic | 📝 Como platinar: As any nation, sink Siam's pride of the fleet.
Jogo: Hearts of Iron IV | 🏆 Troféu: Thai fighters | 📝 Como platinar: As Siam, have 10 aces.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Jogo, colono, partida | 📝 Como platinar: Vença um jogo normal na dificuldade Colono ou superior.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Coração irlandês | 📝 Como platinar: Vença um jogo normal na dificuldade Chefe ou superior.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Lorde da guerra | 📝 Como platinar: Vença um jogo normal na dificuldade Senhor da Guerra ou superior.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Grande obra de Maquiavel | 📝 Como platinar: Vença um jogo normal na dificuldade Príncipe ou superior.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Direito divino | 📝 Como platinar: Vença um jogo normal na dificuldade Rei ou superior.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Nova onda do imperador | 📝 Como platinar: Vença um jogo normal na dificuldade Imperador ou superior.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: 12 trabalhos de Hércules | 📝 Como platinar: Vença um jogo normal na dificuldade Imortal ou superior.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Divino | 📝 Como platinar: Vença um jogo normal na dificuldade Divindade.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Missão para Marte | 📝 Como platinar: Vença um jogo normal com uma Vitória Científica em qualquer dificuldade e com qualquer líder.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Nirvana | 📝 Como platinar: Vença um jogo normal com uma Vitória Religiosa em qualquer dificuldade e com qualquer líder.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Comprando sua calça jeans e ouvindo sua música pop | 📝 Como platinar: Vença um jogo normal com uma Vitória Cultural em qualquer dificuldade e com qualquer líder.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Veni, vidi, vici | 📝 Como platinar: Vença um jogo normal com uma Vitória por Dominação em qualquer dificuldade e com qualquer líder.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Rei das Cruzadas | 📝 Como platinar: Vença um jogo normal como Frederico Barba-Ruiva.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Dinastia Valois | 📝 Como platinar: Vença um jogo normal como Catarina de Médici.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Filha de Isis | 📝 Como platinar: Vença um jogo normal como Cleópatra.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Seja a mudança que deseja ver no mundo | 📝 Como platinar: Vença um jogo normal como Gandhi.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Primeira civilização | 📝 Como platinar: Vença um jogo normal como Gilgamesh.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Por Esparta! | 📝 Como platinar: Vença um jogo normal como Gorgo.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Guarda Varangiana | 📝 Como platinar: Vença um jogo normal como Haroldo Hardrada.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Katsu! | 📝 Como platinar: Vença um jogo normal como Hojo Tokimune.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Vingança de Montezuma | 📝 Como platinar: Vença um jogo normal como Montezuma.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Manikongo | 📝 Como platinar: Vença um jogo normal como Mvemba a Nzinga.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Imperador do Brasil | 📝 Como platinar: Vença um jogo normal como Dom Pedro II.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Oratória | 📝 Como platinar: Vença um jogo normal como Péricles.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Cavaleiro de bronze | 📝 Como platinar: Vença um jogo normal como Pedro, o Grande.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Non Sufficit Orbis | 📝 Como platinar: Vença um jogo normal como Filipe II.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Elixir da imortalidade | 📝 Como platinar: Vença um jogo normal como Qin Shi Huang.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Sultão do Egito | 📝 Como platinar: Vença um jogo normal como Saladin.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Rainha guerreira | 📝 Como platinar: Vença um jogo normal como Tomyris.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Todos os caminhos levam a Roma | 📝 Como platinar: Vença um jogo normal como Trajano.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Deixe o Teddy vencer | 📝 Como platinar: Vença um jogo normal como Theodore Roosevelt.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Estou entretida | 📝 Como platinar: Vença um jogo normal como Vitória.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Presente do deus da tempestade | 📝 Como platinar: Receba um recurso estratégico de Hattusa.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Lendas do templo secreto | 📝 Como platinar: Construa uma Cabeça Colossal adjacente a um Local Sagrado com um Templo.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Exército de Cthulhu | 📝 Como platinar: Recrute o exército de Nan Madol.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Aniversário de 100 anos | 📝 Como platinar: Como a América, crie um Parque Nacional no Lago Crater e ambos os painéis de Yosemite em um jogo.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Os Cavaleiros das Arábias | 📝 Como platinar: Conquiste uma cidade com um Mamluke.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Huey Tlatoani | 📝 Como platinar: Como os astecas em um mapa de tamanho normal, ataque um oponente enquanto receber um bônus de +16 de força de combate por ter todos os luxos.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Pronto para 2016 | 📝 Como platinar: Jogando como o Brasil, complete tanto o Estádio do Maracanã quanto o Cristo Redentor em uma cidade.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: O Tigre e o Canhão | 📝 Como platinar: Jogando como a China, termine um turno com 5 Tigres Agachados em painéis de Grande Muralha.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Walk Like an Egyptian | 📝 Como platinar: Como o Egito, construa uma Esfinge adjacente às Pirâmides, ambos em Planícies aluviais de deserto.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Lançador de voo | 📝 Como platinar: Use o transporte aéreo com um Lançador nível 3.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Pela rainha e país | 📝 Como platinar: Jogando como a Inglaterra em um mapa enorme, tenha uma cidade em cada continente no início do turno.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Vale do Loire | 📝 Como platinar: Crie 5 Châteaux em uma cidade com um recurso de vinho.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Terceira cruzada | 📝 Como platinar: Jogando como Frederico Barba-Ruiva, conquiste a cidade-estado de Jerusalém.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Deuses olímpicos | 📝 Como platinar: Tenha 12 espaços de políticas como a Grécia.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Uma chance para a paz | 📝 Como platinar: Jogando como a Índia em um mapa enorme, receba +35 de fé da habilidade Satyagraha em um turno.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Restauração Meiji | 📝 Como platinar: Jogando como o Japão, tenha um distrito com 6 distritos não pilhados adjacentes.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Cidade do Congo | 📝 Como platinar: Jogando como o Congo, tenha uma capital com uma população de 30.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Ataque viking | 📝 Como platinar: Capture um colono com um Dracar Viking.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Faltei nesse dia da aula de história | 📝 Como platinar: Limpe uma contaminação nuclear com uma Legião Romana.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Ferrovia transiberiana | 📝 Como platinar: Jogando como a Rússia, tenha uma cidade que esteja ao menos 60 painéis de distância da sua capital, conectada por uma rota comercial e uma estrada no início do turno.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Corrida de cavalos cita | 📝 Como platinar: Jogando como a Cítia, tenha 10 Arqueiros montados Saka no seu exército.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Ninguém está a espera da Inquisição Espanhola | 📝 Como platinar: Inicie uma inquisição como a Espanha.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Épico de Gilgamesh | 📝 Como platinar: Como a Suméria, tenha a primeira grande obra de Escrita.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: A Origem das Espécies | 📝 Como platinar: Ative Darwin adjacente às Ilhas Galápagos.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Uma se por terra, duas se por mar | 📝 Como platinar: Tenha um exército de unidades terrestres e 2 armadas.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Estou de olho em você garota | 📝 Como platinar: Vença um jogo normal em um mapa de duelo.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Ofensiva dos quatro cantos | 📝 Como platinar: Vença um jogo normal em um mapa minúsculo.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: O revólver de seis tiros | 📝 Como platinar: Vença um jogo normal em um mapa pequeno.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Oito é o bastante | 📝 Como platinar: Vença um jogo normal em um mapa normal.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Dez mandamentos | 📝 Como platinar: Vença um jogo normal em um mapa grande.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Os doze condenados | 📝 Como platinar: Vença um jogo normal em um mapa enorme.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Mudança tectônica | 📝 Como platinar: Vença um jogo normal no mapa continentes.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Mare Nostrum | 📝 Como platinar: Vença um jogo normal no mapa mar interior.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: O gosto da vitória | 📝 Como platinar: Vença um jogo normal no mapa arquipélagos.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Misturando | 📝 Como platinar: Vença um jogo normal no mapa aleatório.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Legado de Alfred Wegener | 📝 Como platinar: Vença um jogo normal no mapa da Pangeia.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Banho de Arquimedes | 📝 Como platinar: Obtenha 5 aperfeiçoamentos de tecnologia em 1 turno.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Sistema de cívicos de Civ 6 | 📝 Como platinar: Obtenha 5 aprimoramentos de cívicos em 1 turno.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Luftballons | 📝 Como platinar: Use uma unidade de classe bombardeiro para detonar um dispositivo nuclear, contanto que sua base e 9 Balões de Observação estejam localizados no continente de Nena no momento da detonação.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Festa de pizza! | 📝 Como platinar: Ative Leonardo da Vinci em Nova York com grandes obras de Michelangelo e Donatello... e um esgoto... tudo naquela cidade.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Sete maravilhas do mundo pós-apocalíptico | 📝 Como platinar: Lance uma arma de destruição em massa e use-a para pilhar sete maravilhas.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Pegando de volta | 📝 Como platinar: Roube uma grande obra de Arte e não seja descoberto.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Distrito 12 | 📝 Como platinar: Construa um distrito de cada tipo em uma cidade e o Coliseu.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Festa | 📝 Como platinar: Jogue um jogo multijogador.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Serviço de escolta | 📝 Como platinar: Coloque duas unidades em uma formação.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Se você construir, eles virão | 📝 Como platinar: Tenha 6 melhorias ao mesmo tempo.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Viajem do Mayflower | 📝 Como platinar: Funde ou conquiste uma cidade em um continente diferente.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Tudo é tão fantástico! | 📝 Como platinar: No início de um turno tenha uma cidade eufórica.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Investimento bancário | 📝 Como platinar: Tenha uma cidade inimiga sob cerco no início do turno.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Um caso de guerra | 📝 Como platinar: Declare uma guerra formal.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Naming Rights | 📝 Como platinar: Nomeie uma unidade.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Uma revolução sem danças | 📝 Como platinar: Troque seu governo.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Serviço secreto | 📝 Como platinar: Tenha acesso ultrassecreto a cinco civilizações ao mesmo tempo em um jogo.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Aniversário de prata | 📝 Como platinar: Possua 6 recursos de luxo prata no início do turno.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Arroz espanhol no estilo de Nova Orleans | 📝 Como platinar: Se torne suserano de uma cidade-estado.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Homem na lua | 📝 Como platinar: Vença um jogo normal com uma Vitória Científica em qualquer dificuldade com qualquer líder e tenha uma cidade egípcia capturada... tendo também ativado Newton e Darwin.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: We Are The Champions | 📝 Como platinar: Vença um jogo normal com uma Vitória Religiosa com sua religião dominante sendo o zoroastrismo e no momento da vitória, você é o suserano de Zanzibar.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Selfie | 📝 Como platinar: Vença um jogo normal com uma Vitória Cultural com o seu líder no jogo sendo também seu oponente.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Viajando pelas ilhas | 📝 Como platinar: Vença um jogo normal com uma Vitória por Dominação em qualquer dificuldade e com qualquer líder em um mapa de arquipélago enorme.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Sobrevivendo ao tempo | 📝 Como platinar: Vença um jogo normal com início na Era Antiga.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Depois da antiguidade | 📝 Como platinar: Vença um jogo normal com início na Era Clássica.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Saindo da idade das trevas | 📝 Como platinar: Vença um jogo normal com início na Era Medieval.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Homem renascentista | 📝 Como platinar: Vença um jogo normal com início na Era do Renascimento.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Capitão da indústria | 📝 Como platinar: Vença um jogo normal com início na Era Industrial.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: General major moderno | 📝 Como platinar: Vença um jogo normal com início na Era Moderna.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Dividindo o átomo | 📝 Como platinar: Vença um jogo normal com início na Era Atômica.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Era digital | 📝 Como platinar: Vença um jogo normal com início na Era da Informação.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Floco de neve único | 📝 Como platinar: Vença um jogo normal em um mapa fractal.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Até nossos castelos possuem castelos | 📝 Como platinar: Construa um Alcácer entre de 2 painéis de Alambra.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Órgão de tubos de Fionn Mac Cumhaill | 📝 Como platinar: Construa um Monastério dentro de 2 painéis da Calçada dos Gigantes.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: O que você quer dizer com "vulcão ativo?" | 📝 Como platinar: Construa três Aeródromos dentro de 2 painéis do Eyjafjallajökull.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Absolutamente nada de podre no reino da Dinamarca | 📝 Como platinar: Vença Vikings, comerciantes e invasores! como Canuto.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Mais fragmentos de prata para Haroldo | 📝 Como platinar: Vença Vikings, comerciantes e invasores! como Haroldo Hardrada.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Mestre do Báltico | 📝 Como platinar: Vença Vikings, comerciantes e invasores! como Olavo da Suécia.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Deus do mar | 📝 Como platinar: Vença Vikings, comerciantes e invasores! na dificuldade Divindade.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Armadura de fé | 📝 Como platinar: Vença um jogo normal como Edviges.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Você é uma pessoa horrível | 📝 Como platinar: Jogando como a Polônia, destrua uma maravilha incompleta de outra civilização iniciando uma explosão cultural.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Maestria de Hussardo Alado | 📝 Como platinar: Vença Legado de Edviges como Stanislaw Potocki.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Aposta soturna | 📝 Como platinar: Vença Legado de Edviges como Mikolaj, o Soturno, Radziwill.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: O mais grandioso dos hetmans | 📝 Como platinar: Vença Legado de Edviges como Konstanty Ostrogski.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Legado Divino | 📝 Como platinar: Vença Legado de Edviges na dificuldade Divindade.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Uma Vitória Esmagadora | 📝 Como platinar: Vença um jogo normal como John Curtin.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Madeira por Ovelhas | 📝 Como platinar: Jogando como a Austrália, construa um Pasto sobre Ovelhas e roube a Serraria de um jogador adjacente.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Vingança dos Queenlanders | 📝 Como platinar: Vença Magnata do Outback como Queensland.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Conquista dos Comedores de Corvos | 📝 Como platinar: Vença Magnata do Outback como Austrália do Sul.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Golpe Baixo de Victoria | 📝 Como platinar: Vença Magnata do Outback como Victoria.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Varredura dos Sandgropers | 📝 Como platinar: Vença Magnata do Outback como Austrália Ocidental.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Enquanto isso, na Austrália | 📝 Como platinar: Vença Magnata do Outback na dificuldade Divindade.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Uma casa bem cheia | 📝 Como platinar: Complete uma partida multijogador online de Magnata do Outback.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Midnight Oil | 📝 Como platinar: Construa um Poço de Petróleo no último turno do cenário de Magnata do Outback.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Ataque do Coala Carnívoro | 📝 Como platinar: Perca uma unidade para os perigos da Austrália no cenário Magnata do Outback.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Nunca perdeu uma batalha | 📝 Como platinar: Vença um jogo normal como Alexandre.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Rei dos quatro cantos do mundo | 📝 Como platinar: Vença um jogo normal como Ciro.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Grandezas para o Grande | 📝 Como platinar: Jogando como a Macedônia, conquiste uma cidade contendo as maravilhas Grande Biblioteca e Grande Farol.
Jogo: Sid Meier’s Civilization® VI | 🏆 Troféu: Vinho para seus soldados? | 📝 Como platinar: Jogando como a Pérsia, conquiste a capital cita original em 10 turnos após declarar uma guerra surpresa contra a Cítia.
